Dataset,VMD_DC,VMD_IMF1,VMD_IMF2,VMD_IMF3,VMD_Alpha,VMD_K,VMD_Tau,Temp_Best_Model,Temp_RMSE,SVR_Prediction,LSTM_Prediction,Combined_Prediction,SOH
B0006,0.0029,0.0009,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6539,NaN,NaN,100.0000
B0006,-0.0050,0.0026,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4293,NaN,NaN,98.8014
B0006,0.0012,-0.0051,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6581,NaN,NaN,98.4316
B0006,0.0051,0.0005,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4322,NaN,NaN,98.0689
B0006,-0.0080,0.0029,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6548,NaN,NaN,98.0560
B0006,0.0039,-0.0023,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4420,NaN,NaN,97.2469
B0006,0.0044,0.0011,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6731,NaN,NaN,96.4737
B0006,-0.0095,-0.0031,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4476,NaN,NaN,96.4702
B0006,0.0076,0.0006,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6456,NaN,NaN,96.0803
B0006,-0.0008,0.0051,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4466,NaN,NaN,96.0871
B0006,-0.0058,0.0029,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6440,NaN,NaN,95.3056
B0006,0.0089,-0.0118,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4546,NaN,NaN,94.8812
B0006,-0.0068,0.0077,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6443,NaN,NaN,94.5134
B0006,0.0002,0.0031,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4538,NaN,NaN,94.5113
B0006,0.0079,-0.0094,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6428,NaN,NaN,94.1233
B0006,-0.0119,0.0067,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4601,NaN,NaN,94.5266
B0006,0.0075,0.0005,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6415,NaN,NaN,97.2694
B0006,0.0039,0.0057,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4692,NaN,NaN,95.2887
B0006,-0.0141,-0.0128,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6527,NaN,NaN,94.1149
B0006,0.0134,0.0093,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4692,NaN,NaN,92.9192
B0006,-0.0033,-0.0056,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6479,NaN,NaN,92.5416
B0006,-0.0060,0.0091,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.5037,NaN,NaN,92.1363
B0006,0.0082,-0.0172,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6339,NaN,NaN,91.3342
B0006,-0.0047,0.0146,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.4848,NaN,NaN,90.9204
B0006,-0.0007,-0.0066,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6687,NaN,NaN,90.5643
B0006,0.0054,-0.0048,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.5063,NaN,NaN,89.7872
B0006,-0.0081,0.0102,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6585,NaN,NaN,89.3792
B0006,0.0064,-0.0039,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.5306,NaN,NaN,88.9637
B0006,0.0005,0.0002,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.6662,NaN,NaN,88.5810
B0006,-0.0095,-0.0017,0.0000,0.0000,2000.0000,8,0.25,Arrhenius,1.6430,1.5319,NaN,NaN,87.0141
