Dataset,VMD_DC,VMD_IMF1,VMD_IMF2,VMD_IMF3,VMD_Alpha,VMD_K,VMD_Tau,Temp_Best_Model,Temp_RMSE,SVR_Prediction,LSTM_Prediction,Combined_Prediction,SOH
B0007,0.0024,0.0108,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,5.2552,NaN,NaN,100.0000
B0007,0.0021,0.0011,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,-2.8840,NaN,NaN,99.6652
B0007,0.0021,0.0017,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,5.0913,NaN,NaN,99.3253
B0007,0.0026,0.0020,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,-2.8906,NaN,NaN,99.3368
B0007,0.0033,0.0007,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,5.0638,NaN,NaN,98.9834
B0007,0.0041,0.0020,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,-2.8843,NaN,NaN,98.6296
B0007,0.0045,0.0017,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,4.5299,NaN,NaN,98.2874
B0007,0.0041,0.0047,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,-2.8946,NaN,NaN,97.9271
B0007,0.0027,-0.0046,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,5.3868,NaN,NaN,97.9447
B0007,0.0008,-0.0013,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,-2.9021,NaN,NaN,97.6208
B0007,-0.0016,0.0021,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,5.3590,NaN,NaN,97.6168
B0007,-0.0044,-0.0045,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,-2.8974,NaN,NaN,97.2540
B0007,-0.0069,-0.0017,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,5.3282,NaN,NaN,96.9076
B0007,-0.0088,0.0009,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,-2.9046,NaN,NaN,96.9460
B0007,-0.0100,0.0032,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,5.3863,NaN,NaN,96.9109
B0007,-0.0103,0.0037,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,-2.9135,NaN,NaN,97.2862
B0007,-0.0093,-0.0072,0.0000,0.0000,2000.0000,2,1.00,Arrhenius,1.2442,5.3861,NaN,NaN,98.9966
